x,y,class
-8.18778173324636,-8.471953456842249,1
-3.7959362210503005,-2.078618262610313,0
-3.571059779466315,-1.7911386082524503,0
-7.842956096856454,-8.919817909319365,1
3.6433349678579194,8.986726206879416,2
-7.414479500795025,-8.908990343852818,1
3.7818409141265406,9.580078052477143,2
-4.1490978025594885,1.3945708044592195,0
4.018405196131233,8.851008672030572,2
-9.367754272039464,-7.80543037890505,1
5.361777413755501,8.549502522233443,2
4.755503425727817,10.439712729919211,2
4.162580332665991,7.024502496312321,2
-8.439328000192964,-9.580477373133501,1
-7.152391116946951,-6.465153805944813,1
-5.193521978078968,0.5805491151003535,0
-3.787016633876968,0.5234195708870721,0
-8.196174414202012,-7.664764367455554,1
5.647393439449312,8.897413998652436,2
-8.38243809559789,-7.283202120250345,1
4.377291987173503,9.184029615230743,2
4.262326736686669,9.031224813097591,2
6.294875317493142,8.283469919765757,2
4.596193418477084,8.863859667410331,2
5.215729116934577,9.170728321063025,2
4.703951710347075,9.545320016757646,2
4.779392587752135,8.28170462983973,2
4.069556366321728,9.63039696884782,2
-0.6114579832172939,-1.4476056660708758,0
4.0362429878236465,10.17111782646382,2
-7.08163706306577,-9.020375402660896,1
6.548025469238661,9.176383057295716,2
5.308875570954407,9.606483827066564,2
-3.765979930352933,0.478345259695109,0
5.635002991186166,8.473401788262278,2
3.6513375711614056,9.245779085292574,2
4.190155021384155,10.464310902568947,2
3.9858076257632122,8.808660613259702,2
-3.170406776037118,0.7595916910250959,0
-4.40150589590217,-0.5612647051958277,0
-9.936521924828797,-9.227158422080109,1
-3.437476152654229,-1.394411706828442,0
-4.459713116686166,1.0674304306024522,0
-8.281798548814669,-8.049954455564723,1
-7.576983869313176,-9.925810016407466,1
3.9098495252764507,10.387548577872357,2
-5.823636171898931,-0.9782308265644045,0
4.78637291979598,8.834082636161764,2
-6.41551403483541,-9.29114993280049,1
-3.6035597163172204,-0.779843809794715,0
-8.262250329121255,-9.011115658876845,1
-4.67893955740169,-0.8791013917445867,0
-4.642778239693749,-0.6175837574340733,0
-3.9385167467300812,-1.1138730704826438,0
-5.0328276549479884,-1.2844932316274673,0
-9.130703069369595,-8.800848867492393,1
5.979383090694246,7.940506601185117,2
-8.704554883795213,-9.108035324443327,1
